"Topic#","Topic","Class","Concept ID","Type","Simulatable","Diamond (high-impact aha)","Targets misconception","Description (what the sim teaches)","Requires (prerequisites)","Required-by (unlocks)","Notes","Built in repo?"
"13","Work Energy Power","Class 11","E_equals_mc_squared_brief","nano","Yes","","","Rest-mass energy. Brief mention.","parent: mass_energy_equivalence","","Rest-mass energy. Brief mention.",""
"13","Work Energy Power","Class 11","central_force_U_equals_minus_k_over_r_derivation","nano","Yes","","","U(r) = −∫(k/r²)dr from ∞ to r. HCV1 Ex 8.3.","parent: central_force_potential_energy_minus_k_over_r","","U(r) = −∫(k/r²)dr from ∞ to r. HCV1 Ex 8.3.",""
"13","Work Energy Power","Class 11","gravity_work_only_depends_on_height_difference","nano","rule","","","W_g = mgh regardless of path.","parent: work_done_by_gravity_path_independence_proof","","W_g = mgh regardless of path.",""
"14","Momentum Collisions","Class 11","centre_of_mass_atomic","atomic","Yes","YES","","Mathematical point R = Σmᵢrᵢ/Σmᵢ representing weighted-average position of system; CoM moves as if all mass were concentrated there and all external force acted there","[vector_addition(T5), vector_resolution(T5)]","[linear_momentum_atomic, conservation_of_momentum_atomic]","MC-G2; **Diamond candidate** — CoM visualisation in 2-body system sim",""
"14","Momentum Collisions","Class 11","com_discrete_particles_nano","nano","Yes","","","R = (m₁r₁ + m₂r₂ + ...)/(m₁+m₂+...); for 2-body case R = (m₁r₁ + m₂r₂)/(m₁+m₂); CoM closer to heavier mass","[centre_of_mass_atomic]","[reduced_mass_atomic]","parent: centre_of_mass_atomic",""
"14","Momentum Collisions","Class 11","com_continuous_body_nano","nano","Yes","","","R = (∫r dm)/M; integration over body's mass distribution; symmetric body's CoM at geometric centre","[centre_of_mass_atomic, calculus_integration(math-tools)]","—","parent: centre_of_mass_atomic",""
"14","Momentum Collisions","Class 11","com_motion_v_com_eq_p_total_over_m_nano","nano","Yes","","","V_CoM = (Σmᵢvᵢ)/M = P_total/M; CoM moves with system's average velocity. **cognitive_error_target:** ""CoM is a material point"" → CoM is a MATHEMATICAL location, may be outside any actual body","[centre_of_mass_atomic]","[linear_momentum_atomic]","parent: centre_of_mass_atomic; MC-G2 cognitive_error_target",""
"14","Momentum Collisions","Class 11","linear_momentum_atomic","atomic","Yes","","","p = mv (single body); P_system = Σmᵢvᵢ = M·V_CoM (system); SI units kg·m/s. Momentum is the natural quantity behind Newton's 2nd law (F = dp/dt)","[centre_of_mass_atomic, newton_second_law_atomic(T11)]","[conservation_of_momentum_atomic, impulse_momentum_theorem_nano, kinetic_theory_pressure_atomic(T27)]","MC-G3; foundational atomic",""
"14","Momentum Collisions","Class 11","impulse_momentum_theorem_nano","nano","Yes","","","J = ∫F dt = Δp; impulse equals change in momentum; cross-link to T11 `impulse_change_in_momentum_nano`","[linear_momentum_atomic, newton_second_law_atomic(T11), calculus_integration(math-tools)]","—","parent: linear_momentum_atomic; cross-link to T11",""
"14","Momentum Collisions","Class 11","conservation_of_momentum_atomic","atomic","Yes","","momentum conserved always","When no external force acts on a system (or net external force is zero), total linear momentum is conserved: ΣP_initial = ΣP_final. Follows from Newton's 3rd law applied to internal forces (they cancel pairwise)","[linear_momentum_atomic, newton_third_law_atomic(T11)]","[elastic_collision_1d_atomic, inelastic_collision_atomic, perfectly_inelastic_collision_atomic, rocket_equation_atomic, explosion_as_reverse_collision_nano]","MC-G4; **cognitive_error_target:** ""momentum conserved always"" → only when ΣF_ext = 0",""
"14","Momentum Collisions","Class 11","closed_system_requirement_nano","nano","Yes","","","Conservation holds ONLY when net external force is zero. Gravity acting on bouncing ball + earth: SYSTEM is conserved (ball + earth), but ball-alone is NOT. **cognitive_error_target nano**.","[conservation_of_momentum_atomic]","—","parent: conservation_of_momentum_atomic; MC-G4 cognitive_error_target",""
"14","Momentum Collisions","Class 11","explosion_as_reverse_collision_nano","nano","Yes","","","One body → multiple fragments; total p conserved; KE INCREASES (internal energy → KE). Time-reversed perfectly-inelastic-collision. ISRO multi-stage rocket = controlled explosion at staging events.","[conservation_of_momentum_atomic, perfectly_inelastic_collision_atomic]","—","parent: conservation_of_momentum_atomic; **space-strand anchor: ISRO multi-stage separation**",""
"14","Momentum Collisions","Class 11","elastic_collision_1d_atomic","atomic","Yes","YES","","1D collision conserving BOTH momentum AND kinetic energy. Closed-form solution: v₁' = ((m₁−m₂)v₁ + 2m₂v₂)/(m₁+m₂); v₂' = ((m₂−m₁)v₂ + 2m₁v₁)/(m₁+m₂). Equal-mass case: simple velocity exchange.","[conservation_of_momentum_atomic, work_energy_theorem(T13)]","[elastic_collision_2d_atomic, coefficient_of_restitution_atomic]","MC-G5; **Diamond candidate** — equal-mass-velocity-exchange visualisation",""
"14","Momentum Collisions","Class 11","equal_mass_velocity_exchange_nano","nano","Yes","","","m₁ = m₂: v₁' = v₂; v₂' = v₁. Classic Newton's cradle / billiards visualization.","[elastic_collision_1d_atomic]","—","parent: elastic_collision_1d_atomic",""
"14","Momentum Collisions","Class 11","elastic_collision_2d_atomic","atomic","Yes","","","2D oblique elastic collision: conservation of momentum applied PER COMPONENT (x and y), plus conservation of KE; results in coupled equations. Geometric significance: post-collision velocity directions form right angle for equal masses","[elastic_collision_1d_atomic, vector_resolution(T5), system_of_linear_equations_2var(math-tools)]","[rutherford_scattering(T47), molecular_collision_nano(T27)]","MC-G5; JEE-Advanced staple",""
"14","Momentum Collisions","Class 11","right_angle_for_equal_masses_nano","nano","Yes","","","When equal masses collide elastically with one at rest: post-collision velocity vectors are perpendicular. Classic billiards-shot geometry.","[elastic_collision_2d_atomic]","—","parent: elastic_collision_2d_atomic",""
"14","Momentum Collisions","Class 11","inelastic_collision_atomic","atomic","Yes","","real collisions are elastic","Momentum conserved; KE NOT conserved (some converted to heat, sound, deformation). Coefficient of restitution e ∈ [0,1] characterises energy retention","[conservation_of_momentum_atomic]","[perfectly_inelastic_collision_atomic, real_world_collisions_nano, coefficient_of_restitution_atomic]","MC-G6; **cognitive_error_target:** ""real collisions are elastic"" → most real collisions are partly inelastic. **Cycle break (2026-06-13):** removed `coefficient_of_restitution_atomic` from Requires — teach the phenomenon (KE lost) first; e quantifies it (now in Required-by).",""
"14","Momentum Collisions","Class 11","perfectly_inelastic_collision_atomic","atomic","Yes","","","Bodies stick together after collision; common post-collision velocity v_f = (m₁v₁ + m₂v₂)/(m₁+m₂); maximum KE-loss case; e = 0","[inelastic_collision_atomic, conservation_of_momentum_atomic]","[explosion_as_reverse_collision_nano(reverse)]","MC-G6; canonical-formula atomic",""
"14","Momentum Collisions","Class 11","railway_buffer_collision_nano","nano","Yes","","","Two Indian Railways wagons couple on track: bodies stick (Janney coupler engagement) → perfectly inelastic; coupling-and-uncoupling at Mughalsarai/Bandra/Itarsi yards.","[perfectly_inelastic_collision_atomic]","—","parent: perfectly_inelastic_collision_atomic; **transport-strand anchor: Indian Railways**",""
"14","Momentum Collisions","Class 11","coefficient_of_restitution_atomic","atomic","Yes","","e is property of one ball","e = |v_separation|/|v_approach|; e = 1 elastic, e = 0 perfectly inelastic, 0 < e < 1 general inelastic. Property of the COLLISION PAIR (not single object)","[elastic_collision_1d_atomic, inelastic_collision_atomic]","[bouncing_ball_height_nano, cricket_bat_ball_nano]","MC-G7; **cognitive_error_target:** ""e is property of one ball"" → e is property of collision pair",""
"14","Momentum Collisions","Class 11","bouncing_ball_height_nano","nano","Yes","","","Ball dropped from height h₀ bounces to h₁ = e²h₀; nth bounce → h_n = e^(2n)h₀; series of decreasing heights","[coefficient_of_restitution_atomic]","—","parent: coefficient_of_restitution_atomic; everyday Indian observation",""
"14","Momentum Collisions","Class 11","cricket_bat_ball_nano","nano","Yes","","","Cricket ball-bat collision: e ≈ 0.45 for hardened-leather + willow; affects six-vs-four trajectory; depends on bat-thickness, ball-condition, swing-speed. Indian cricket-equipment-industry context.","[coefficient_of_restitution_atomic]","—","parent: coefficient_of_restitution_atomic; **sports-strand anchor: Indian cricket**",""
"14","Momentum Collisions","Class 11","rocket_equation_atomic","atomic","Yes","YES","","Tsiolkovsky: v − v₀ = u·ln(M₀/M); rocket gains speed by ejecting mass at exhaust-speed u; specific impulse I_sp = u/g₀ measures fuel efficiency","[conservation_of_momentum_atomic, f_eq_dp_dt_nano(T11), calculus_integration(math-tools), natural_log(math-tools)]","—","MC-G8; **Diamond candidate** — Tsiolkovsky derivation sim with ISRO mission examples",""
"14","Momentum Collisions","Class 11","isro_pslv_multistage_nano","nano","Yes","","","PSLV: 4 stages (PS1 solid + PS2 liquid + PS3 solid + PS4 liquid); each stage burns + separates (explosion → reverse collision). Total Δv achievable via Tsiolkovsky summed across stages.","[rocket_equation_atomic, explosion_as_reverse_collision_nano]","—","parent: rocket_equation_atomic; **space-strand anchor: ISRO PSLV**",""
"14","Momentum Collisions","Class 11","specific_impulse_i_sp_nano","nano","—","","","I_sp = u/g₀ in seconds; chemical rocket: 250-450 s; ion thruster: 1000-5000 s; ISRO LAM (liquid apogee motor) ~300 s","[rocket_equation_atomic]","—","parent: rocket_equation_atomic",""
"14","Momentum Collisions","Class 11","reduced_mass_atomic","atomic","Yes","","","μ = m₁m₂/(m₁+m₂); converts 2-body problem to equivalent 1-body problem of mass μ moving in central potential. Foundation of 2-body collision + Rutherford scattering + Bohr H-atom correction","[centre_of_mass_atomic, com_discrete_particles_nano]","[rutherford_scattering(T47), bohr_model_reduced_mass_correction(T47)]","MC-G9; **cross-cluster bridge atomic** to T47",""
"14","Momentum Collisions","Class 11","rutherford_scattering_application_nano","nano","Yes","","","Alpha + gold-nucleus: μ ≈ m_α since m_Au >> m_α; cross-link to T47 atomic-models","[reduced_mass_atomic, elastic_collision_2d_atomic, rutherford_scattering(T47)]","—","parent: reduced_mass_atomic; cross-link to T47",""
"15","Rotational Mechanics","Class 11","rigid_body_rotation_atomic","atomic","Yes","","","Rigid body = all internal distances constant; rotation about fixed axis = every point traces a circle of fixed radius around axis","[vector_resolution(T5)]","[rotational_kinematics_atomic, moment_of_inertia_atomic, torque_atomic]","Foundational; defines the rotational system",""
"15","Rotational Mechanics","Class 11","rotation_axis_vs_translation_nano","nano","Yes","","","Pure rotation = points trace circles around fixed axis (axis is stationary). Pure translation = all points have same velocity. General motion = translation + rotation about CoM","[rigid_body_rotation_atomic, centre_of_mass_atomic(T14)]","—","parent: rigid_body_rotation_atomic",""
"15","Rotational Mechanics","Class 11","rotational_kinematics_atomic","atomic","Yes","","angular and linear kinematics are different physics","ω = dθ/dt; α = dω/dt; ω = ω₀ + αt; θ = ω₀t + ½αt²; ω² = ω₀² + 2αθ. **Rotational analog of T6 linear kinematics.**","[rigid_body_rotation_atomic, calculus_derivative(math-tools)]","[tau_eq_i_alpha_atomic, rolling_on_incline_atomic]","RM-G3; **cognitive_error_target:** ""angular and linear kinematics are different physics"" → same math, different variables (mass↔I; F↔τ; v↔ω; a↔α)",""
"15","Rotational Mechanics","Class 11","omega_v_eq_omega_r_relation_nano","nano","Yes","","","Linear velocity of point at radius r: v = ωr. Linear acceleration tangential: a_t = αr. Linear acceleration centripetal: a_c = ω²r. **Three relations bridging linear ↔ angular.**","[rotational_kinematics_atomic, circular_motion(T10)]","—","parent: rotational_kinematics_atomic",""
"15","Rotational Mechanics","Class 11","moment_of_inertia_atomic","atomic","Yes","YES","I is a property of body alone","I = Σmᵢrᵢ² (discrete); I = ∫r² dm (continuous). I is ""rotational mass"" — resists change in rotational motion. **DEPENDS ON CHOSEN AXIS.**","[rigid_body_rotation_atomic, calculus_integration(math-tools)]","[tau_eq_i_alpha_atomic, rotational_work_energy_atomic, angular_momentum_atomic]","RM-G2; **Diamond candidate**; **cognitive_error_target:** ""I is a property of body alone"" → I depends on the AXIS",""
"15","Rotational Mechanics","Class 11","i_for_canonical_bodies_nano","nano","Yes","","","Solid sphere: I = (2/5)MR². Hollow sphere: (2/3)MR². Disc/cylinder about axis: ½MR². Ring: MR². Rod about end: ML²/3. Rod about centre: ML²/12. **Table for V1 reference.**","[moment_of_inertia_atomic]","[rolling_on_incline_atomic]","parent: moment_of_inertia_atomic; **canonical-formulas table**",""
"15","Rotational Mechanics","Class 11","parallel_axis_theorem_nano","nano","Yes","","","I_parallel = I_CoM + Md²; moment of inertia about any axis parallel to CoM-axis equals I_CoM + (mass × distance²). Allows computing I about arbitrary axis.","[moment_of_inertia_atomic, centre_of_mass_atomic(T14)]","—","parent: moment_of_inertia_atomic",""
"15","Rotational Mechanics","Class 11","perpendicular_axis_theorem_nano","nano","Yes","","","For PLANAR body in xy-plane: I_z = I_x + I_y. Only valid for thin laminar (planar) bodies; not for 3D solids. **cognitive_error_target:** ""perpendicular-axis applies to all bodies"" → planar only.","[moment_of_inertia_atomic]","—","parent: moment_of_inertia_atomic",""
"15","Rotational Mechanics","Class 11","torque_atomic","atomic","Yes","","","τ = r × F (vector form); τ = rF sin θ (magnitude); τ is to angular motion what F is to linear motion. SI unit: N·m","[rigid_body_rotation_atomic, vector_cross_product(math-tools), newton_second_law_atomic(T11)]","[tau_eq_i_alpha_atomic, angular_momentum_atomic, conservation_of_angular_momentum_atomic]","RM-G4; **cross-link to T36 magnetic dipole torque**",""
"15","Rotational Mechanics","Class 11","moment_arm_lever_arm_nano","nano","Yes","","","τ = F × d_perpendicular = F × (r sin θ). Moment arm = perpendicular distance from axis to line-of-action of force. **cognitive_error_target:** ""torque = r·F always"" → r sin θ matters; force ALONG r contributes ZERO torque","[torque_atomic]","—","parent: torque_atomic; RM-G12 cognitive_error_target",""
"15","Rotational Mechanics","Class 11","couples_two_equal_opposite_forces_nano","nano","Yes","","","Pair of equal-opposite forces with separation d: net force = 0; net torque = F·d (independent of axis choice). Door-handle, wrench-on-bolt examples","[torque_atomic]","—","parent: torque_atomic",""
"15","Rotational Mechanics","Class 11","tau_eq_i_alpha_atomic","atomic","Yes","YES","","τ_net = Iα; central quantitative law of rotational dynamics. Rotational analog of F_net = ma","[torque_atomic, moment_of_inertia_atomic, rotational_kinematics_atomic, newton_second_law_atomic(T11)]","[rolling_on_incline_atomic, torsional_pendulum_atomic, rotational_work_energy_atomic]","RM-G5; **Diamond candidate**",""
"15","Rotational Mechanics","Class 11","rotational_vs_linear_table_nano","nano","Yes","","","Side-by-side table: m↔I, F↔τ, v↔ω, a↔α, F=ma↔τ=Iα, p=mv↔L=Iω, KE=½mv²↔KE=½Iω². **Cognitive scaffold nano.**","[tau_eq_i_alpha_atomic]","—","parent: tau_eq_i_alpha_atomic; conceptual scaffold",""
"15","Rotational Mechanics","Class 11","rotational_work_energy_atomic","atomic","Yes","","","W_torque = ∫τ dθ; rotational KE = ½Iω²; total KE for rolling = ½mv² + ½Iω². Bridges T13 Work-Energy linear treatment","[tau_eq_i_alpha_atomic, work_energy_theorem(T13)]","[rolling_on_incline_atomic, pure_rolling_atomic]","RM-G8",""
"15","Rotational Mechanics","Class 11","angular_momentum_atomic","atomic","Yes","","L is a scalar","L = Iω (rotational) = r × p (general); SI unit: kg·m²/s; vector quantity; direction by right-hand rule along ω","[torque_atomic, moment_of_inertia_atomic, rotational_kinematics_atomic]","[conservation_of_angular_momentum_atomic, torsional_pendulum_atomic, magnetic_dipole_moment(T36)]","RM-G6; **cognitive_error_target:** ""L is a scalar"" → L is a vector along the rotation axis",""
"15","Rotational Mechanics","Class 11","l_eq_r_cross_p_nano","nano","Yes","","","For a single particle: L = r × p; for system: L_total = Σ(rᵢ × pᵢ); axis-independent definition","[angular_momentum_atomic, vector_cross_product(math-tools)]","—","parent: angular_momentum_atomic",""
"15","Rotational Mechanics","Class 11","conservation_of_angular_momentum_atomic","atomic","Yes","","","When no external torque acts (τ_ext = 0): L_total = constant. Derivation: τ_ext = dL/dt = 0 → L = const. **Pirouette, planetary Kepler-2, gyroscope-stability all apply**","[angular_momentum_atomic, torque_atomic]","[pirouette_application_nano, keplers_2nd_law_application_nano(T16)]","RM-G6",""
"15","Rotational Mechanics","Class 11","pirouette_application_nano","nano","Yes","","","Ice-skater / Bharatnatyam dancer pirouette: arms pulled in → I decreases → ω increases (L = Iω constant). Indian classical-dance everyday observation","[conservation_of_angular_momentum_atomic]","—","parent: conservation_of_angular_momentum_atomic; **dance/sports-strand anchor: Bharatnatyam + ice-skating + gymnastics**",""
"15","Rotational Mechanics","Class 11","isro_satellite_attitude_control_nano","nano","Yes","","","Geostationary satellites use reaction-wheel-based attitude control: spinning wheel inside satellite changes satellite's angular momentum; ISRO INSAT/GSAT/Cartosat all use this","[conservation_of_angular_momentum_atomic]","—","parent: conservation_of_angular_momentum_atomic; **space-strand anchor: ISRO**",""
"15","Rotational Mechanics","Class 11","keplers_2nd_law_planetary_nano","nano","Yes","","","Law of equal areas: planets sweep equal areas in equal times → dA/dt = L/2m = constant (when L conserved under central force). Cross-link to T16 Gravitation","[conservation_of_angular_momentum_atomic, gravitation(T16)]","—","parent: conservation_of_angular_momentum_atomic; cross-link to T16",""
"15","Rotational Mechanics","Class 11","pure_rolling_atomic","atomic","Yes","","rolling friction is kinetic","Rolling without slipping: v_CoM = Rω (constraint); contact-point velocity = 0 instantaneously; STATIC friction (not kinetic) provides the rotational coupling","[rotational_kinematics_atomic, omega_v_eq_omega_r_relation_nano, friction_force_atomic(T11), centre_of_mass_atomic(T14)]","[rolling_on_incline_atomic, total_ke_rolling_nano]","RM-G7; **cognitive_error_target:** ""rolling friction is kinetic"" → static (contact-point momentarily at rest)",""
"15","Rotational Mechanics","Class 11","contact_point_instantaneous_rest_nano","nano","Yes","","","Rolling-without-slipping condition: v_CoM − Rω = 0 → contact point has zero velocity at any instant. **Diamond visualisation candidate**: trace path of contact point = cycloid","[pure_rolling_atomic]","—","parent: pure_rolling_atomic",""
"15","Rotational Mechanics","Class 11","total_ke_rolling_nano","nano","Yes","","","KE_total = KE_translation + KE_rotation = ½mv_CoM² + ½Iω² = ½mv² + ½I(v/R)² = ½v²(m + I/R²). Larger I/R² → more KE in rotation","[pure_rolling_atomic, rotational_work_energy_atomic]","—","parent: pure_rolling_atomic",""
"15","Rotational Mechanics","Class 11","rolling_on_incline_atomic","atomic","Yes","YES","","Body rolling without slipping down incline angle θ: a_CoM = g sin θ / (1 + I/(mR²)); time-to-bottom depends on I/(mR²) ratio. **Solid sphere < disc < hollow sphere < ring**","[pure_rolling_atomic, tau_eq_i_alpha_atomic, block_on_incline_atomic(T11), i_for_canonical_bodies_nano]","—","RM-G9; **Diamond candidate** — sphere-vs-disc-vs-ring race-down-incline sim",""
"15","Rotational Mechanics","Class 11","rolling_race_demonstration_nano","nano","Yes","","","Race down same incline: solid sphere wins (smallest I/mR² = 2/5); disc 2nd (1/2); hollow sphere 3rd (2/3); ring last (1.0). Iconic Class 11 demo","[rolling_on_incline_atomic, i_for_canonical_bodies_nano]","—","parent: rolling_on_incline_atomic",""
"15","Rotational Mechanics","Class 11","torsional_pendulum_atomic","atomic","Yes","","","Disc suspended by wire with torsional rigidity κ: τ = −κθ → I·d²θ/dt² = −κθ → angular SHM with ω² = κ/I; T = 2π√(I/κ)","[tau_eq_i_alpha_atomic, simple_harmonic_motion(T17), angular_shm_equation(T17)]","—","RM-G10; **bridges to T17 SHM**; cross-link to T37 dipole-in-field angular SHM; NCERT-not-covered (HCV+DCM only)",""
"15","Rotational Mechanics","Class 11","flywheel_application_atomic","atomic","Yes","YES","","Wheel with large I stores rotational KE = ½Iω² and smooths angular-velocity fluctuations. Automotive engine flywheel, power-plant turbine inertia, KERS (Kinetic Energy Recovery System) all use this","[moment_of_inertia_atomic, rotational_work_energy_atomic]","—","**Diamond candidate**; industry anchor; cross-link to T26 Thermodynamics IC engines",""
"16","Gravitation","Class 11","newton_law_of_gravitation","atomic","Yes","YES","","`F = Gm₁m₂/r²`, central + conservative + medium-independent. The diamond seed.","[vector_resolution, inverse_square_concept_from_T30]","[acceleration_due_to_gravity, gravitational_field_strength, gravitational_PE_general]","`F = Gm₁m₂/r²`, central + conservative + medium-independent. The diamond seed.",""
"16","Gravitation","Class 11","force_between_two_point_masses","nano","Yes","","","DCM2 Fig 13.1","[newton_law_of_gravitation]","[newton_law_of_gravitation]","DCM2 Fig 13.1",""
"16","Gravitation","Class 11","force_between_two_spherical_bodies","nano","Yes","","","DCM2 Fig 13.2; shell theorem makes this identical to point-mass","[newton_law_of_gravitation, shell_theorem_external]","[newton_law_of_gravitation]","DCM2 Fig 13.2; shell theorem makes this identical to point-mass",""
"16","Gravitation","Class 11","force_between_sphere_and_rod_integration","nano","Yes","","","DCM2 Fig 13.4 + Example 13.5; ∫dF over rod length","[newton_law_of_gravitation, integration_basics]","[newton_law_of_gravitation]","DCM2 Fig 13.4 + Example 13.5; ∫dF over rod length",""
"16","Gravitation","Class 11","superposition_polygon_vertex_masses","nano","Yes","","","DCM2 Examples 13.2/13.3/13.4 hexagon/pentagon/square","[newton_law_of_gravitation, vector_resolution]","[newton_law_of_gravitation]","DCM2 Examples 13.2/13.3/13.4 hexagon/pentagon/square",""
"16","Gravitation","Class 11","gravitational_constant_G","atomic","Yes","","","G = 6.67×10⁻¹¹ N·m²/kg²; measured by Cavendish torsion balance","[newton_law_of_gravitation]","[orbital_velocity, escape_velocity, total_energy_orbiting_satellite]","G = 6.67×10⁻¹¹ N·m²/kg²; measured by Cavendish torsion balance",""
"16","Gravitation","Class 11","cavendish_torsion_balance_method","nano","Yes","","","HCV1 §11.2 derivation: `G = kθr²/(Mml)`; ""Cavendish weighed the Earth""","[gravitational_constant_G, torque_atomic]","[gravitational_constant_G]","HCV1 §11.2 derivation: `G = kθr²/(Mml)`; ""Cavendish weighed the Earth""",""
"16","Gravitation","Class 11","shell_theorem_external","atomic","Yes","","","""External point sees shell as point-mass at centre"" — Newton's Principia result","[newton_law_of_gravitation, integration_basics]","[force_between_two_spherical_bodies, gravitational_field_solid_sphere_external, acceleration_due_to_gravity, gravitational_potential_solid_sphere_external]","""External point sees shell as point-mass at centre"" — Newton's Principia result",""
"16","Gravitation","Class 11","shell_theorem_internal","atomic","Yes","","","""Interior of shell has zero gravity""; depth-variation of g derives from this","[newton_law_of_gravitation, integration_basics]","[variation_of_g_depth, gravitational_field_solid_sphere_internal]","""Interior of shell has zero gravity""; depth-variation of g derives from this",""
"16","Gravitation","Class 11","acceleration_due_to_gravity","atomic","Yes","","","`g = GM/R²` ≈ 9.8 m/s² at Earth surface","[newton_law_of_gravitation, shell_theorem_external]","[variation_of_g_height, variation_of_g_depth, variation_of_g_shape, variation_of_g_rotation, gravitational_PE_constant_g_limit]","`g = GM/R²` ≈ 9.8 m/s² at Earth surface",""
"16","Gravitation","Class 11","variation_of_g_height","atomic","Yes","","","`g(h) = g·(1 - 2h/R)` for h<<R; full form `g·R²/(R+h)²`","[acceleration_due_to_gravity]","[orbital_velocity]","`g(h) = g·(1 - 2h/R)` for h<<R; full form `g·R²/(R+h)²`",""
"16","Gravitation","Class 11","binomial_expansion_step","nano","—","","","The `(1+h/R)⁻² ≈ 1 - 2h/R` step explicit","[variation_of_g_height, binomial_theorem_math]","[variation_of_g_height]","The `(1+h/R)⁻² ≈ 1 - 2h/R` step explicit",""
"16","Gravitation","Class 11","variation_of_g_depth","atomic","Yes","","","`g(d) = g·(1 - d/R)`; from shell-theorem-internal applied to outer shell","[acceleration_due_to_gravity, shell_theorem_internal]","—","`g(d) = g·(1 - d/R)`; from shell-theorem-internal applied to outer shell",""
"16","Gravitation","Class 11","mass_of_inner_sphere_proportionality","nano","—","","","`M_inner/M_earth = (R-d)³/R³`","[variation_of_g_depth]","[variation_of_g_depth]","`M_inner/M_earth = (R-d)³/R³`",""
"16","Gravitation","Class 11","variation_of_g_shape","atomic","Yes","","","Equator R 21 km larger than poles → g larger at poles. Geometric, not dynamical.","[acceleration_due_to_gravity]","—","Equator R 21 km larger than poles → g larger at poles. Geometric, not dynamical.",""
"16","Gravitation","Class 11","variation_of_g_rotation","atomic","Yes","","","`g' = g - Rω²cos²λ`; effective at latitude λ","[acceleration_due_to_gravity, centripetal_acceleration_from_T10]","—","`g' = g - Rω²cos²λ`; effective at latitude λ",""
"16","Gravitation","Class 11","apparent_g_equator_zero_condition","nano","—","","","DCM2 Example 13.8: ""rotate Earth fast enough for weight at equator = 0 → T = 1.4 hr""","[variation_of_g_rotation]","[variation_of_g_rotation]","DCM2 Example 13.8: ""rotate Earth fast enough for weight at equator = 0 → T = 1.4 hr""",""
"16","Gravitation","Class 11","gravitational_field_strength","atomic","Yes","","","`E = F/m` (vector); units N/kg ≡ m/s²; identical to g for Earth's field","[newton_law_of_gravitation]","[gravitational_field_solid_sphere_external, gravitational_field_solid_sphere_internal, gravitational_field_shell_external, gravitational_field_shell_internal, gravitational_field_ring_axial, field_potential_relation]","`E = F/m` (vector); units N/kg ≡ m/s²; identical to g for Earth's field",""
"16","Gravitation","Class 11","gravitational_field_solid_sphere_external","nano","Yes","","","`E = GM/r²` for r ≥ R","[gravitational_field_strength, shell_theorem_external]","[gravitational_field_strength]","`E = GM/r²` for r ≥ R",""
"16","Gravitation","Class 11","gravitational_field_solid_sphere_internal","nano","Yes","","","`E = GMr/R³` (linear in r); peak at surface","[gravitational_field_strength]","[gravitational_field_strength]","`E = GMr/R³` (linear in r); peak at surface",""
"16","Gravitation","Class 11","gravitational_field_shell_external","nano","Yes","","","`E = GM/r²` for r ≥ R","[gravitational_field_strength, shell_theorem_external]","[gravitational_field_strength]","`E = GM/r²` for r ≥ R",""
"16","Gravitation","Class 11","gravitational_field_shell_internal","nano","Yes","","","E = 0 inside shell","[gravitational_field_strength, shell_theorem_internal]","[gravitational_field_strength]","E = 0 inside shell",""
"16","Gravitation","Class 11","gravitational_field_ring_axial","nano","Yes","","","`E = GMr/(R²+r²)^(3/2)`; max at r = R/√2","[gravitational_field_strength, integration_basics]","[gravitational_field_strength]","`E = GMr/(R²+r²)^(3/2)`; max at r = R/√2",""
"16","Gravitation","Class 11","gravitational_potential","atomic","Yes","","","`V = W_∞→P/m` (scalar); units J/kg. Reference: V(∞) = 0.","[newton_law_of_gravitation, work_done_by_conservative_force_from_T13]","[gravitational_potential_solid_sphere_external, gravitational_potential_solid_sphere_internal, gravitational_potential_shell_external, gravitational_potential_shell_internal, gravitational_potential_ring_axial, gravitational_PE_general, escape_velocity]","`V = W_∞→P/m` (scalar); units J/kg. Reference: V(∞) = 0.",""
"16","Gravitation","Class 11","gravitational_potential_point_mass","nano","Yes","","","`V = -GM/r`; negative because gravity is attractive","[gravitational_potential]","[gravitational_potential]","`V = -GM/r`; negative because gravity is attractive",""
"16","Gravitation","Class 11","gravitational_potential_solid_sphere_external","nano","Yes","","","`V = -GM/r` for r ≥ R","[gravitational_potential, shell_theorem_external]","[gravitational_potential]","`V = -GM/r` for r ≥ R",""
"16","Gravitation","Class 11","gravitational_potential_solid_sphere_internal","nano","Yes","","","`V = -GM(1.5R² - 0.5r²)/R³`; at centre = -1.5GM/R","[gravitational_potential]","[gravitational_potential]","`V = -GM(1.5R² - 0.5r²)/R³`; at centre = -1.5GM/R",""
"16","Gravitation","Class 11","gravitational_potential_shell_external","nano","Yes","","","`V = -GM/r` for r ≥ R","[gravitational_potential, shell_theorem_external]","[gravitational_potential]","`V = -GM/r` for r ≥ R",""
"16","Gravitation","Class 11","gravitational_potential_shell_internal","nano","Yes","","","V = -GM/R constant inside; HCV1 §11.5 ring-integration derivation","[gravitational_potential, shell_theorem_internal]","[gravitational_potential]","V = -GM/R constant inside; HCV1 §11.5 ring-integration derivation",""
"16","Gravitation","Class 11","gravitational_potential_ring_axial","nano","Yes","","","`V = -GM/√(R²+r²)`; at centre = -GM/R","[gravitational_potential, integration_basics]","[gravitational_potential]","`V = -GM/√(R²+r²)`; at centre = -GM/R",""
